"Order#","Date","Subject(s)","Color","Negatives","Prints","Slides","Department","Remarks"
"G0101","N/A","Portrait of Buck Hughston; group of people at a dinner table [possibly a retirement party]","B&W","8 (Size: 35mm; 120; 4x5)","0 (Size: N/A)","0 (Size: N/A)","Central Service Department","None"
"G0109","N/A","Health Fair","Color","35 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","Office of the County Executive - Com-Line","None"
"G0161","N/A","Edenvale","B&W","2 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","N/A","None"
"G0162","N/A","Man seated at desk","B&W","3 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","N/A","None"
"G0163","N/A","People fishing and feeding ducks","B&W","2 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Flood Control","None"
"G0164","N/A","Peter Mancuso, Welfare Department","B&W","2 (Size: 4x5)","2 (Size: 1x1)","0 (Size: N/A)","N/A","None"
"G0165","N/A","Aerial photographs near Dalmotor Division building","B&W","1 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Office of the District Attorney","None"
"G0174","N/A","Aerial photograph of Hellyer County Park and Coyote Creek Parkway","Color","0 (Size: N/A)","0 (Size: N/A)","1 (Size: 35mm)","Department of Parks and Recreation","None"
"G0175","N/A","Children at a playground","B&W; color","8 (Size: 35mm; 4x5)","0 (Size: N/A)","2 (Size: 35mm)","Department of Parks and Recreation","None"
"G0176","N/A","Old cars at shopping center","B&W","1 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","N/A","Copy of photograph"
"G0178","N/A","Identification photograph of Jack Huber, #1045","B&W","2 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","N/A","None"
"G0179","N/A","Identification photograph and ID card of unidentified man, #262","B&W","1 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","N/A","Includes contact prints"
"G0180","N/A","Golden Bells Working Committee Dinner","B&W","40 (Size: 620)","0 (Size: N/A)","0 (Size: N/A)","N/A","None"
"G0181","N/A","Portrait of Frank Mitchell","B&W","4 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","N/A","None"
"G0184","N/A","Bill working in the coffee shop of the court house","B&W","1 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","N/A","None"
"G0191","N/A","County Government Center, Valley Medical Center, and road crews working","Color","0 (Size: N/A)","0 (Size: N/A)","66 (Size: 35mm)","N/A","Slides are not mounted"
"G0197","N/A","John Francisco, Controller","B&W","2 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Controller","None"
"G0199","N/A","Portrait of Bill Straub","B&W","6 (Size: 4x5)","2 (Size: 4x5)","0 (Size: N/A)","County Fair","None"
"G0200","N/A","Silhouette of an adult and three children (for publicity)","B&W","5 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","N/A","None"
"G0203","N/A","Building near railroad tracks in Sunnyvale","B&W","4 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","N/A","Copies of photographs"
"G0213","N/A","Exterior of Sheriff's Office Bureau of Inspectors old quarters, N. Market Street","B&W","1 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","N/A","Damaged negative - buckling emulsion"
"G0231","N/A","Portrait of Bill Jennings","B&W","4 (Size: 4x5)","4 (Size: 4x5)","0 (Size: N/A)","Office of the Assessor","None"
"G0248","N/A","Portrait of Pat Sullivan, Registrar of Voters","B&W","5 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","Registrar of Voters","Includes contact prints"
"G0251","N/A","Portrait of Dan Burrows","Color","8 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Recorder's Office","None"
"G0254","N/A","Howard Campen, County Executive at desk","Color","7 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Office of the County Executive","None"
"G0258","N/A","Board of Supervisors meeting","B&W","5 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","N/A","None"
"G0273","N/A","Portrait of Roger Garder, Personnel Department","B&W","7 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","Personnel Department","None"
"G0274","N/A","Pat Fierro, Employee Relations","B&W","8 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Office of the County Executive","None"
"G0284","N/A","Portrait of Frank Thill, County Executive","B&W","0 (Size: N/A)","1 (Size: 5x7)","0 (Size: N/A)","N/A","Print stored in Box 1"
"G0286","N/A","Portraits of Charles and Lois Taddo","B&W","0 (Size: N/A)","4 (Size: 4x5)","0 (Size: N/A)","N/A","None"
"G0287","N/A","Portrait of Alyce Sunseri","B&W","0 (Size: N/A)","3 (Size: 6x8; 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0289","N/A","Portrait of George B. Noll, Assessor","B&W","0 (Size: N/A)","2 (Size: 5x7; 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0292","N/A","Portrait of Frank Hall, Department of Corrections","B&W","0 (Size: N/A)","1 (Size: 5x7)","0 (Size: N/A)","N/A","Print stored in Box 1"
"G0293","N/A","Portrait of Delia Alverez, Personnel Department","B&W","0 (Size: N/A)","2 (Size: 5x7)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0294","N/A","Portrait of Phylis Perez, Clerk of the Board","B&W; color","0 (Size: N/A)","5 (Size: 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0295","N/A","Portrait of Don Rains, Clerk of the Board","Color","0 (Size: N/A)","3 (Size: 5x7; 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2; Includes contact prints"
"G0297","N/A","Portrait of Ernest Perez, Equal Opportunity Office","Color","0 (Size: N/A)","2 (Size: 4x5; 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0299","N/A","Portrait of Muriel Wright, and seated at desk","B&W","0 (Size: N/A)","8 (Size: 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0300","N/A","Seven Flood Control directors","B&W","0 (Size: N/A)","7 (Size: 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0301","N/A","Portrait of Adolf C. Amar","Color","8 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Communications Department","None"
"G0302","N/A","Model of County Government Center","B&W","0 (Size: N/A)","5 (Size: 8x10)","0 (Size: N/A)","Planning Department","Prints stored in Box 2"
"G0304","N/A","Exterior of Central Mental Health Center","B&W","0 (Size: N/A)","1 (Size: 8x10)","0 (Size: N/A)","N/A","Print stored in Box 1"
"G0305","N/A","Portrait of Supervisor Zoe Lofgren","Color","0 (Size: N/A)","2 (Size: 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0306","N/A","Portrait of Supervisor Dianne McKenna; Resolution of Commendation","B&W; color","0 (Size: N/A)","9 (Size: 5x7; 6x9; 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0307","N/A","Portrait of Supervisor Joseph M. McKinnon","B&W","0 (Size: N/A)","1 (Size: 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0308","N/A","Portrait of Supervisor Rebecca Q. Morgan","Color","0 (Size: N/A)","2 (Size: 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2; Includes contact prints"
"G0309","N/A","Portrait of Supervisor Sig Sanchez","B&W","0 (Size: N/A)","6 (Size: 4x5; 5x7; 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0311","N/A","Portrait of Supervisor Susanne B. Wilson","B&W; color","0 (Size: N/A)","9 (Size: 5x7; 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2; Includes contact prints"
"G0312","N/A","Board of Supervisors in 1950s - Sam P. Della Maggiore, Arthur W. Brown, Walter S. Gaspar,  Joseph M. McKinnon, Edward R. Levin","B&W","1 (Size: 4x5)","2 (Size: 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0313","N/A","Board of Supervisors - Ralph Mehrkens, Sam P. Della Maggiore, Edward R. Levin, Sig Sanchez, Martin J. Spangler","B&W","0 (Size: N/A)","2 (Size: 6x10; 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0314","N/A","Board of Supervisors - Sig Sanchez, Geraldine F. Steinberg, Dan A. McCorquodale, Dominic L. Cortese, Rodney J. Diridon","B&W; color","0 (Size: N/A)","1 (Size: 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2; Includes contact prints"
"G0315","N/A","Board of Supervisors - Ron Gonzales, Rodney J. Diridon, Zoe Lofgren, Susanne B. Wilson, Dianne McKenna","Color","0 (Size: N/A)","11 (Size: 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0319","N/A","Portrait of Judge John A. Flaherty & Superior Courts","Color","0 (Size: N/A)","6 (Size: 5x7; 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0323","N/A","Judge James A. Wright at bench and with two unidentified women & Municipal Courts","B&W","0 (Size: N/A)","3 (Size: 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0325","N/A","Portrait of Judge Marcel P. Poche & Superior Courts","B&W","0 (Size: N/A)","3 (Size: 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0326","N/A","Judge Read Ambler and Supervisor Rodney J. Diridon with appointment certificate; and portrait & Superior Courts","B&W","0 (Size: N/A)","2 (Size: 8x10)","0 (Size: N/A)","N/A","Print stored in Box 1"
"G0327","N/A","Portrait of Judge Bruce F. Allen & Superior Courts","B&W","0 (Size: N/A)","3 (Size: 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0328","N/A","Portrait of Judge Marilyn Pestarino Zecher & Superior Courts","B&W","0 (Size: N/A)","2 (Size: 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0330","N/A","Portrait of Judge James W. Stewart & Superior Courts","B&W; color","0 (Size: N/A)","4 (Size: 4x5; 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2; Includes contact prints"
"G0332","N/A","Group photograph of the Office of the Public Defender staff & Courts","Color","0 (Size: N/A)","2 (Size: 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0340","N/A","Swearing in of, and portrait of Judge Conrad L. Rushing & Superior Courts","B&W","0 (Size: N/A)","2 (Size: 5x7)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0341","N/A","Portrait of Judge John F. Herlihy & Municipal Courts","B&W","0 (Size: N/A)","3 (Size: 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0342A","N/A","Portraits of Judges: John S. McInerney, Thomas C. Edwards, Lawrence F. Terry, John R. Kennedy, William A. Ingram, John M. Brenner & Superior Courts","B&W","0 (Size: N/A)","8 (Size: 5x7; 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2; prints are labeled"
"G0342B","N/A","Portraits of Judges: Edward A. Panelli, Charles Gordon, Stanley R. Evans, Leslie C. Nichols, Homer B. Thompson & Superior Courts","B&W","0 (Size: N/A)","6 (Size: 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2; prints are labeled"
"G0343","N/A","Exterior of Administration Building [prints from order numbers 7297, 7992, 8312, 6814, 8496]","B&W","0 (Size: N/A)","8 (Size: 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0346","N/A","Interior and exterior of County Library Bookmobile","B&W","0 (Size: N/A)","2 (Size: 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0347","N/A","Construction progress of San Jose-Alviso Municipal Court building; completed interior and exterior  [prints from order numbers 7623, 7445, 7306, 7265, 7202, 7192, 6241, 6026, 8881, 8520, 4983]","B&W","0 (Size: N/A)","28 (Size: 5x7; 6x8; 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0348","N/A","Construction progress of Communications Center  [prints from order numbers 3624, 3537, 3431, 3389, 2797, 2842, 2876, 2926, 2928, 3023, 3047, 3159, 3218, 3263]","B&W","0 (Size: N/A)","21 (Size: 8x10)","0 (Size: N/A)","Communications Department","Prints stored in Box 2"
"G0349","N/A","Construction progress of kitchen at Elmwood (County Jail Farm)  [prints from order numbers 3622, 3264, 3158, 3054, 3002, 2959]","B&W","0 (Size: N/A)","21 (Size: 8x10)","0 (Size: N/A)","Sheriff's Department","Prints stored in Box 2"
"G0350","N/A","Construction progress of Children's Shelter; Interior and exterior of completed building [prints from order numbers 8653, 7993]","B&W","0 (Size: N/A)","21 (Size: 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0351","N/A","Interior and exterior of Juvenile Center; Dedication; Architectural rendering","B&W","0 (Size: N/A)","16 (Size: 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0352","N/A","Portrait of Harold Rosen, Personnel Director[prints from order numbers 7597A, 6340]","B&W","0 (Size: N/A)","16 (Size: 4x5; 5x7; 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0354","N/A","History of Santa Clara County Transportation - trains, boats, cars, buses, trolleys","B&W","0 (Size: N/A)","24 (Size: 8x10; 11x14)","0 (Size: N/A)","Planning Department","Copies of photographs; Stored separately"
"G0355","N/A","Rose Garden, New Almaden, Gavilan College, Mission Santa Clara, Casa Grande Hotel, Juvenile Probation building, Alviso Marina, Lick Mansion, Laine's Grocery, Downtown San Jose, and various other unidentified sites","B&W; color","0 (Size: N/A)","51 (Size: 8x10; 11x14)","0 (Size: N/A)","Planning Department","Stored separately"
"G0358","N/A","Portrait of Sally Reed, County Executive[prints from order numbers 16557, 1244, G0357, G0276]","B&W; color","0 (Size: N/A)","22 (Size: 5x7; 8x10)","0 (Size: N/A)","Office of the County Executive","Prints stored in Box 2"
"G0359","N/A","Portrait of Supervisor Sam P. Della Maggiore","B&W","0 (Size: N/A)","6 (Size: 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0365","N/A","Aerial photographs of County Government Center, Lockheed Martin, Downtown San Jose","B&W","0 (Size: N/A)","4 (Size: 4x5; 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0366","N/A","Construction progress of North County Office Building, Palo Alto [prints from order numbers 7624, 7738, 7264, 6951, 6656, 6217, 6139, 6029, 5968, 5913, 5848] & Courts","B&W","0 (Size: N/A)","35 (Size: 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0367","N/A","Interior and exterior of North County Office Building, Palo Alto [prints from order numbers 8163A, 8163B, 8162] & Courts","B&W; color","0 (Size: N/A)","24 (Size: 5x7; 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0372","N/A","Del Monte and Brandt buildings","B&W","16 (Size: 120; 4x5)","0 (Size: N/A)","0 (Size: N/A)","N/A","None"
"G0374","N/A","Board of Supervisors in auditorium - Ron Gonzales, Rodney J. Diridon, Zoe Lofgren, Susanne B. Wilson, Dianne McKenna","B&W","18 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","N/A","Includes contact prints"
"G0375","N/A","Supervisor Susanne B. Wilson presenting gavel to Supervisor Dianne McKenna","Color","4 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","N/A","None"
"G0376","N/A","Board of Supervisors in auditorium with awards- Ron Gonzales, Rodney J. Diridon, Zoe Lofgren, Susanne B. Wilson, Dianne McKenna","Color","18 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","N/A","None"
"2838A","21529","Interior of Juvenile Center","B&W","31 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","N/A","None"
"G0377","N/A","County court house and downtown San Jose","Color","0 (Size: N/A)","0 (Size: N/A)","4 (Size: 120)","N/A","Slides are not mounted"
"G0379","N/A","Contact prints of Mayors (circa 1977-1980) [prints from order numbers 7853, 7851, 7862, 7869, 12059, 8066, 7814, 1527, 1358, 1228, 1201, 65348, 65369, 65370, 65496, 65497, 65498, 65499, 65500, 65782, 64906, 64905, 64904, 64903]","Color","0 (Size: N/A)","26 (Size: 120 contact prints)","0 (Size: N/A)","N/A","Contact prints stored in Box 2"
"G0413","N/A","General Services Agency Parking Patrol - interior of office and writing of citations","Color","0 (Size: N/A)","0 (Size: N/A)","25 (Size: 35mm)","N/A","Slides stored in Box 3"
"G0414","N/A","County carpentary, plumbing, painting, and sign workshops","Color","0 (Size: N/A)","0 (Size: N/A)","22 (Size: 35mm)","N/A","Slides stored in Box 3"
"G0415","N/A","Anderson Lake County Park's Gladys Jackson Ranch; Santa Teresa County Park&#8217;s Bernal Ranch","Color","0 (Size: N/A)","0 (Size: N/A)","38 (Size: 35mm)","N/A","Slides stored in Box 3"
"G0417","N/A","Portraits of Supervisors - Ron Gonzales, Dianne McKenna, Susanne B. Wilson","Color","0 (Size: N/A)","0 (Size: N/A)","14 (Size: 35mm)","N/A","Slides stored in Box 3"
