"Gender","Ethnicity","EEO4 Description","EEOP Job Group Description","Department  ","EEO Function","Age","Employment Status"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","50-59","Classified Permanent"
"Female","Hispanic/Latino","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","50-59","Classified Permanent"
"Male","White","Officials and Administrators","Protective Services - Sworn","PROBATION DEPARTMENT","Corrections","60-69","Executive Management"
"Female","White","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Hispanic/Latino","Paraprofessionals","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","COUNTY EXECUTIVE","Financial Administration","50-59","Classified Permanent"
"Female","Hispanic/Latino","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","50-59","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Female","Hispanic/Latino","Professionals","Professionals","PUBLIC DEFENDER","Financial Administration","50-59","Classified Permanent"
"Female","Asian","Professionals","Professionals","DISTRICT ATTORNEY","Financial Administration","50-59","Classified Permanent"
"Female","White","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Male","White","Professionals","Professionals","DISTRICT ATTORNEY","Financial Administration","50-59","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","COUNTY CLERK-RECORDER","Other","50-59","Classified Permanent"
"Male","White","Professionals","Protective Services - Sworn","SHO - CUSTODY BUREAU","Corrections","60-69","Classified Permanent"
"Male","Hispanic/Latino","Service Maintenance","Service Maintenance","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","White","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Female","Hispanic/Latino","Professionals","Officials and Adminstrators","SHO - CUSTODY BUREAU","Corrections","50-59","Classified Permanent"
"Female","Asian","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","60-69","Classified Permanent"
"Male","Hispanic/Latino","Service Maintenance","Service Maintenance","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Hispanic/Latino","Professionals","Officials and Adminstrators","SOCIAL SERVICES AGENCY","Public Welfare","50-59","Classified Probationary"
"Male","White","Skilled Craft Workers","Skilled Craft","ROADS DEPARTMENT","Streets and Highways","50-59","Classified Permanent"
"Male","White","Officials and Administrators","Officials and Adminstrators","DISTRICT ATTORNEY","Financial Administration","60-69","Executive Management"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","50-59","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SHERIFF'S OFFICE","Police Protection","50-59","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","50-59","Classified Permanent"
"Female","Hispanic/Latino","Service Maintenance","Service Maintenance","SHO - CUSTODY BUREAU","Corrections","60-69","Classified Permanent"
"Male","Hispanic/Latino","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","50-59","Classified Permanent"
"Female","Not Specified","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","COUNTY COUNSEL","Financial Administration","50-59","Classified Permanent"
"Male","White","Professionals","Professionals","PUBLIC DEFENDER","Financial Administration","50-59","Classified Permanent"
"Female","Two or More Races","Professionals","Protective Services - Sworn","PROBATION DEPARTMENT","Corrections","50-59","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","70 or older","Unclassified Extra Help"
"Male","Asian","Protective Service Workers","Protective Services - Sworn","SHO - CUSTODY BUREAU CONTRACT","Corrections","60-69","Unclassified Extra Help"
"Male","White","Professionals","Professionals","SHERIFF'S OFFICE","Police Protection","50-59","Unclassified Extra Help"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","60-69","Classified Permanent"
"Female","Hispanic/Latino","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","40-49","Classified Permanent"
"Female","Hispanic/Latino","Service Maintenance","Service Maintenance","SHO - CUSTODY BUREAU","Corrections","60-69","Classified Permanent"
"Female","Asian","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","40-49","Classified Permanent"
"Female","Asian","Professionals","Professionals","BEHAVIORAL HEALTH SERVICES","Health","50-59","Classified Permanent"
"Male","Hispanic/Latino","Professionals","Officials and Adminstrators","FACILITIES","Financial Administration","60-69","Classified Permanent"
"Male","White","Professionals","Professionals","PUBLIC DEFENDER","Financial Administration","50-59","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Male","White","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Black/African American","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Male","Black/African American","Professionals","Professionals","PUBLIC DEFENDER","Financial Administration","50-59","Classified Permanent"
"Male","Black/African American","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","White","Administrative Support","Administrative Support","COUNTY COMMUNICATIONS","Police Protection","50-59","Classified Permanent"
"Female","White","Administrative Support","Administrative Support","BEHAVIORAL HEALTH SERVICES","Health","50-59","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Asian","Technicians","Service Maintenance","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Native Hawaiian/Oth Pac Island","Professionals","Officials and Adminstrators","COUNTY CLERK-RECORDER","Other","50-59","Classified Permanent"
"Female","White","Protective Service Workers","Protective Services - Sworn","PROBATION DEPARTMENT","Corrections","50-59","Classified Permanent"
"Male","Black/African American","Professionals","Officials and Adminstrators","SOCIAL SERVICES AGENCY","Public Welfare","50-59","Classified Permanent"
"Female","Asian","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","40-49","Classified Permanent"
"Male","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Male","Hispanic/Latino","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","60-69","Classified Permanent"
"Male","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Male","Hispanic/Latino","Protective Service Workers","Protective Services - Sworn","PROBATION DEPARTMENT","Corrections","50-59","Classified Permanent"
"Male","White","Professionals","Officials and Adminstrators","DEPT OF ENVIRONMENTAL HEALTH","Natural Resources","50-59","Classified Permanent"
"Female","White","Professionals","Professionals","DISTRICT ATTORNEY","Financial Administration","50-59","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","White","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Male","Hispanic/Latino","Protective Service Workers","Protective Services - Sworn","SHO - CUSTODY BUREAU CONTRACT","Corrections","40-49","Classified Permanent"
"Male","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Unclassified Benefits"
"Female","White","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Unclassified Extra Help"
"Male","White","Service Maintenance","Service Maintenance","FACILITIES","Financial Administration","50-59","Classified Permanent"
"Female","Asian","Professionals","Professionals","DISTRICT ATTORNEY","Financial Administration","50-59","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","40-49","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","DISTRICT ATTORNEY","Financial Administration","40-49","Classified Permanent"
"Male","White","Administrative Support","Administrative Support","ASSESSOR","Financial Administration","50-59","Classified Permanent"
"Female","White","Professionals","Officials and Adminstrators","FACILITIES","Financial Administration","40-49","Classified Permanent"
"Male","Asian","Officials and Administrators","Officials and Adminstrators","BEHAVIORAL HEALTH SERVICES","Health","50-59","Classified Permanent"
"Female","Asian","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","60-69","Classified Permanent"
"Male","White","Professionals","Protective Services - Sworn","SHERIFF'S OFFICE","Police Protection","50-59","Classified Permanent"
"Female","Black/African American","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Male","White","Protective Service Workers","Protective Services - Sworn","SHERIFF'S OFFICE","Police Protection","60-69","Classified Permanent"
"Female","Asian","Administrative Support","Administrative Support","COUNTY CLERK-RECORDER","Other","50-59","Classified Permanent"
"Female","Asian","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","50-59","Classified Permanent"
"Female","White","Officials and Administrators","Officials and Adminstrators","SOCIAL SERVICES AGENCY","Public Welfare","50-59","Executive Management"
"Female","Asian","Professionals","Professionals","TECHNOLOGY SVCS & SOLUTIONS","Financial Administration","70 or older","Classified Permanent"
"Male","White","Professionals","Officials and Adminstrators","PROBATION DEPARTMENT","Corrections","60-69","Classified Permanent"
"Male","White","Professionals","Officials and Adminstrators","PUBLIC HEALTH DEPARTMENT","Health","60-69","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Unclassified Benefits"
"Male","White","Officials and Administrators","Officials and Adminstrators","PUBLIC DEFENDER","Financial Administration","60-69","Classified Permanent"
"Male","Asian","Officials and Administrators","Officials and Adminstrators","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Unclassified Benefits"
"Female","White","Professionals","Professionals","DEPT OF CHILD SUPPORT SERVS","Other","70 or older","Classified Permanent"
"Female","Hispanic/Latino","Technicians","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Not Specified","Technicians","Professionals","TECHNOLOGY SVCS & SOLUTIONS","Financial Administration","60-69","Classified Permanent"
"Male","Two or More Races","Professionals","Professionals","DISTRICT ATTORNEY","Financial Administration","50-59","Classified Permanent"
"Female","Asian","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","70 or older","Classified Permanent"
"Male","White","Technicians","Professionals","TECHNOLOGY SVCS & SOLUTIONS","Financial Administration","40-49","Classified Permanent"
"Female","Not Specified","Officials and Administrators","Officials and Adminstrators","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Male","Black/African American","Protective Service Workers","Protective Services - Sworn","SHO - CUSTODY BUREAU CONTRACT","Corrections","60-69","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Male","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Male","Not Specified","Officials and Administrators","Officials and Adminstrators","DISTRICT ATTORNEY","Financial Administration","60-69","Executive Management"
"Female","White","Professionals","Professionals","BEHAVIORAL HEALTH SERVICES","Health","50-59","Classified Permanent"
"Female","White","Paraprofessionals","Administrative Support","COUNTY LIBRARY DISTRICT","Other","60-69","Classified Permanent"
"Female","White","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Male","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Unclassified Benefits"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","50-59","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Male","Asian","Professionals","Professionals","SHO - CUSTODY BUREAU","Corrections","60-69","Classified Permanent"
"Female","Hispanic/Latino","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","50-59","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","50-59","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","50-59","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","DISTRICT ATTORNEY","Financial Administration","60-69","Classified Permanent"
"Female","Hispanic/Latino","Protective Service Workers","Protective Services - Sworn","DISTRICT ATTORNEY","Financial Administration","50-59","Classified Permanent"
"Female","White","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Unclassified Benefits"
"Female","Asian","Paraprofessionals","Administrative Support","DISTRICT ATTORNEY","Financial Administration","60-69","Classified Permanent"
"Female","Hispanic/Latino","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","50-59","Classified Permanent"
"Female","White","Professionals","Officials and Adminstrators","SOCIAL SERVICES AGENCY","Public Welfare","60-69","Classified Permanent"
"Female","Hispanic/Latino","Officials and Administrators","Officials and Adminstrators","COUNTY COUNSEL","Financial Administration","50-59","Executive Management"
"Female","Hispanic/Latino","Paraprofessionals","Service Maintenance","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Male","White","Technicians","Skilled Craft","ROADS DEPARTMENT","Streets and Highways","70 or older","Classified Permanent"
"Female","American Indian/Alaska Native","Professionals","Professionals","DISTRICT ATTORNEY","Financial Administration","60-69","Classified Permanent"
"Female","American Indian/Alaska Native","Professionals","Professionals","COUNTY EXECUTIVE","Financial Administration","50-59","Classified Permanent"
"Female","Hispanic/Latino","Protective Service Workers","Protective Services - Sworn","PROBATION DEPARTMENT","Corrections","50-59","Classified Permanent"
"Female","Two or More Races","Professionals","Officials and Adminstrators","BEHAVIORAL HEALTH SERVICES","Health","50-59","Classified Permanent"
"Female","Asian","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Female","White","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Asian","Paraprofessionals","Administrative Support","DEPT OF CHILD SUPPORT SERVS","Other","50-59","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","COUNTY LIBRARY DISTRICT","Other","50-59","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Asian","Technicians","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Female","Hispanic/Latino","Paraprofessionals","Administrative Support","PUBLIC HEALTH DEPARTMENT","Health","60-69","Classified Permanent"
"Female","White","Protective Service Workers","Protective Services - Sworn","PROBATION DEPARTMENT","Corrections","50-59","Classified Permanent"
"Female","Hispanic/Latino","Professionals","Professionals","PUBLIC HEALTH DEPARTMENT","Health","60-69","Classified Permanent"
"Female","White","Administrative Support","Administrative Support","ASSESSOR","Financial Administration","50-59","Classified Permanent"
"Female","White","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Asian","Protective Service Workers","Protective Services - Sworn","PROBATION DEPARTMENT","Corrections","50-59","Classified Permanent"
"Male","White","Professionals","Professionals","DISTRICT ATTORNEY","Financial Administration","50-59","Classified Permanent"
"Female","Asian","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","60-69","Classified Permanent"
"Female","Black/African American","Administrative Support","Administrative Support","DEPT OF TAX AND COLLECTIONS","Financial Administration","50-59","Classified Permanent"
"Male","White","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","50-59","Classified Permanent"
"Male","White","Professionals","Professionals","TECHNOLOGY SVCS & SOLUTIONS","Financial Administration","50-59","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","DISTRICT ATTORNEY","Financial Administration","50-59","Classified Permanent"
"Female","Hispanic/Latino","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","50-59","Classified Permanent"
"Male","Asian","Professionals","Officials and Adminstrators","RISK MANAGEMENT","Financial Administration","50-59","Classified Permanent"
"Female","Hispanic/Latino","Professionals","Professionals","PUBLIC HEALTH DEPARTMENT","Health","50-59","Classified Permanent"
"Female","Asian","Professionals","Officials and Adminstrators","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Hispanic/Latino","Paraprofessionals","Administrative Support","DISTRICT ATTORNEY","Financial Administration","60-69","Classified Permanent"
"Male","Hispanic/Latino","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","50-59","Classified Permanent"
"Male","Asian","Professionals","Officials and Adminstrators","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Male","Asian","Technicians","Professionals","TECHNOLOGY SVCS & SOLUTIONS","Financial Administration","60-69","Classified Permanent"
"Female","Asian","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","50-59","Classified Permanent"
"Male","Hispanic/Latino","Service Maintenance","Skilled Craft","ROADS DEPARTMENT","Streets and Highways","60-69","Classified Permanent"
"Male","White","Service Maintenance","Skilled Craft","ROADS DEPARTMENT","Streets and Highways","60-69","Classified Permanent"
"Male","White","Professionals","Protective Services - Sworn","SHERIFF'S OFFICE","Police Protection","40-49","Executive Management"
"Male","Hispanic/Latino","Skilled Craft Workers","Skilled Craft","ROADS DEPARTMENT","Streets and Highways","60-69","Classified Permanent"
"Female","Not Specified","Professionals","Officials and Adminstrators","PROCUREMENT DEPARTMENT","Financial Administration","40-49","Classified Permanent"
"Female","Asian","Paraprofessionals","Service Maintenance","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","DEPT OF CHILD SUPPORT SERVS","Other","60-69","Classified Permanent"
"Male","Hispanic/Latino","Officials and Administrators","Officials and Adminstrators","COUNTY EXECUTIVE","Financial Administration","50-59","Executive Management"
"Male","White","Service Maintenance","Service Maintenance","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Male","Hispanic/Latino","Professionals","Professionals","PUBLIC DEFENDER","Financial Administration","50-59","Classified Permanent"
"Female","Hispanic/Latino","Professionals","Professionals","EMPLOYEE SERVICES AGENCY","Financial Administration","50-59","Classified Permanent"
"Female","Black/African American","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","60-69","Classified Permanent"
"Male","White","Service Maintenance","Skilled Craft","ROADS DEPARTMENT","Streets and Highways","60-69","Classified Permanent"
"Female","White","Protective Service Workers","Protective Services - Sworn","PROBATION DEPARTMENT","Corrections","40-49","Classified Permanent"
"Male","Hispanic/Latino","Professionals","Protective Services - Sworn","PROBATION DEPARTMENT","Corrections","50-59","Classified Permanent"
"Female","White","Professionals","Officials and Adminstrators","BEHAVIORAL HEALTH SERVICES","Health","50-59","Classified Permanent"
"Male","Asian","Paraprofessionals","Skilled Craft","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","DISTRICT ATTORNEY","Financial Administration","40-49","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Hispanic/Latino","Paraprofessionals","Service Maintenance","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","BEHAVIORAL HEALTH SERVICES","Health","50-59","Classified Permanent"
"Male","Hispanic/Latino","Protective Service Workers","Protective Services - Sworn","PROBATION DEPARTMENT","Corrections","40-49","Classified Permanent"
"Male","Hispanic/Latino","Protective Service Workers","Protective Services - Sworn","PROBATION DEPARTMENT","Corrections","40-49","Classified Permanent"
"Female","Hispanic/Latino","Professionals","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","60-69","Classified Permanent"
"Male","Black/African American","Protective Service Workers","Protective Services - Sworn","PROBATION DEPARTMENT","Corrections","50-59","Classified Permanent"
"Male","Two or More Races","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","50-59","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Male","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Female","White","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Unclassified Benefits"
"Female","Asian","Officials and Administrators","Officials and Adminstrators","BEHAVIORAL HEALTH SERVICES","Health","50-59","Executive Management"
"Female","White","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Unclassified Benefits"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","COUNTY COUNSEL","Financial Administration","70 or older","Classified Permanent"
"Male","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Unclassified Benefits"
"Male","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Unclassified Benefits"
"Female","White","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Unclassified Benefits"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Unclassified Benefits"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Unclassified Benefits"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Unclassified Benefits"
"Female","Hispanic/Latino","Service Maintenance","Service Maintenance","SHO - CUSTODY BUREAU","Corrections","50-59","Classified Permanent"
"Female","White","Protective Service Workers","Protective Services - Sworn","PROBATION DEPARTMENT","Corrections","40-49","Classified Permanent"
"Male","White","Skilled Craft Workers","Skilled Craft","FACILITIES","Financial Administration","50-59","Classified Permanent"
"Female","Asian","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","50-59","Classified Permanent"
"Female","White","Administrative Support","Administrative Support","COUNTY CLERK-RECORDER","Other","40-49","Classified Permanent"
"Male","Hispanic/Latino","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Male","Hispanic/Latino","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","40-49","Classified Permanent"
"Female","Hispanic/Latino","Professionals","Officials and Adminstrators","BEHAVIORAL HEALTH SERVICES","Health","40-49","Classified Permanent"
"Male","White","Professionals","Professionals","COUNTY LIBRARY DISTRICT","Other","50-59","Classified Permanent"
"Male","Not Specified","Service Maintenance","Skilled Craft","AGRICULTURE & ENVIRON MGMT","Natural Resources","50-59","Classified Permanent"
"Female","White","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Unclassified Extra Help"
"Female","Asian","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","50-59","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Unclassified Benefits"
"Male","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","70 or older","Unclassified Benefits"
"Female","White","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Male","White","Administrative Support","Administrative Support","DEPT OF CHILD SUPPORT SERVS","Other","70 or older","Classified Permanent"
"Female","White","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","70 or older","Unclassified Benefits"
"Male","White","Professionals","Professionals","DISTRICT ATTORNEY","Financial Administration","50-59","Classified Permanent"
"Male","Asian","Technicians","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Male","White","Professionals","Professionals","DISTRICT ATTORNEY","Financial Administration","60-69","Classified Permanent"
"Female","Asian","Paraprofessionals","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Female","Asian","Technicians","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Female","Asian","Professionals","Professionals","CONTROLLER - TREASURER","Financial Administration","50-59","Classified Permanent"
"Female","White","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Unclassified Benefits"
"Female","Asian","Professionals","Officials and Adminstrators","BEHAVIORAL HEALTH SERVICES","Health","50-59","Classified Permanent"
"Female","White","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Unclassified Benefits"
"Male","Black/African American","Service Maintenance","Service Maintenance","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Female","Asian","Professionals","Professionals","DEPT OF CHILD SUPPORT SERVS","Other","50-59","Classified Permanent"
"Female","White","Professionals","Professionals","COUNTY LIBRARY DISTRICT","Other","60-69","Classified Permanent"
"Female","White","Paraprofessionals","Administrative Support","DEPT OF CHILD SUPPORT SERVS","Other","50-59","Classified Permanent"
