"business_id","name","address","CITY","STATE","postal_code","latitude","longitude","phone_number","Geo_Address"
"PR0300089","PINK POODLE THEATRE THE","328 S BASCOM AV B","SAN JOSE","CA","95128","37.3230442000","-121.9318149000",,"POINT (-121.9318149 37.3230442)"
"PR0300090","TIP TOP LIQUOR","439 S BASCOM AV","SAN JOSE","CA","95128","37.3207380000","-121.9320630000","+14082943993","POINT (-121.932063 37.320738)"
"PR0300094","MINI GOURMET","599 S BASCOM AV","SAN JOSE","CA","95128","37.3164989000","-121.9319407000","+14089631661","POINT (-121.9319407 37.3164989)"
"PR0300096","MCDONALD'S RESTAURANT-898","898 S BASCOM AV","SAN JOSE","CA","95128","37.3109910000","-121.9311530000",,"POINT (-121.931153 37.310991)"
"PR0300097","COM TAM THANH","905 S BASCOM AV","SAN JOSE","CA","95128","37.3102872000","-121.9318970000","+14082798588","POINT (-121.931897 37.3102872)"
"PR0300100","7 ELEVEN 14299D","1335 S BASCOM AV","SAN JOSE","CA","95128","37.3008831000","-121.9322685000","+14082860351","POINT (-121.9322685 37.3008831)"
"PR0300103","JACK IN THE BOX #411","1737 S BASCOM AV","CAMPBELL","CA","95008","37.2917660000","-121.9321550000","+14083777074","POINT (-121.932155 37.291766)"
"PR0300104","LUNA MEXICAN KITCHEN","1875 S BASCOM AV # 570","CAMPBELL","CA","95008","37.2882795000","-121.9333534000","+14083202654","POINT (-121.9333534 37.2882795)"
"PR0300106","PRUNEYARD CINEMAS - KITCHEN","1875 S BASCOM AV","CAMPBELL","CA","95008","37.2882795000","-121.9333534000","+14087054691","POINT (-121.9333534 37.2882795)"
"PR0300107","WIENERSCHNITZEL","1940 S BASCOM AV","CAMPBELL","CA","95008","37.2881690000","-121.9311590000","+14083718409","POINT (-121.931159 37.288169)"
"PR0300108","TACO BRAVO","1950 S BASCOM AV","CAMPBELL","CA","95008","37.2880842000","-121.9315698000","+14083715611","POINT (-121.9315698 37.2880842)"
"PR0300109","7-ELEVEN FOOD STORE #2367-14298E","2223 S BASCOM AV","CAMPBELL","CA","95008","37.2829590000","-121.9318240000","+14083777060","POINT (-121.931824 37.282959)"
"PR0300112","KIRK'S STEAKBURGER","2509 S BASCOM AV","CAMPBELL","CA","95008","37.2776480000","-121.9325880000","+14083718729","POINT (-121.932588 37.277648)"
"PR0300113","QUIK STOP MARKET #550034","2704 S BASCOM AV","SAN JOSE","CA","95124","37.2721570000","-121.9357560000","+14083711160","POINT (-121.935756 37.272157)"
"PR0300114","CHARLEE'S LIQUOR MARKET","2905 S BASCOM AV","CAMPBELL","CA","95008","37.2692430000","-121.9385820000","+14083716790","POINT (-121.938582 37.269243)"
"PR0300116","KFC/A&W RESTAURANT","3144 S BASCOM AV","SAN JOSE","CA","95124","37.2663583000","-121.9406813000",,"POINT (-121.9406813 37.2663583)"
"PR0300117","BASCOM LIQUOR & FOOD","3750 S BASCOM AV","SAN JOSE","CA","95124","37.2597940000","-121.9466430000",,"POINT (-121.946643 37.259794)"
"PR0300118","BASCOM DONUTS","3966 S BASCOM AV","SAN JOSE","CA","95124","37.2586690000","-121.9472390000","+14083778599","POINT (-121.947239 37.258669)"
"PR0300121","CAFE DE FLORE INC","19480 BEAR CREEK RD","LOS GATOS","CA","950339519","37.1742897000","-122.0090179000","+15106843226","POINT (-122.0090179 37.1742897)"
"PR0300123","SANTA CLARA USD ADULT EDUC CTR","1840 BENTON ST","SANTA CLARA","CA","95050","37.3469680000","-121.9553360000",,"POINT (-121.955336 37.346968)"
"PR0300124","SANTA CLARA HIGH SCHOOL-CAFETERIA","3000 BENTON ST","SANTA CLARA","CA","95051","37.3464620000","-121.9823290000","+14084232600","POINT (-121.982329 37.346462)"
"PR0300125","7-ELEVEN FOOD STORE #14241","3565 BENTON ST","SANTA CLARA","CA","95051","37.3454830000","-121.9943670000","+14082048668","POINT (-121.994367 37.345483)"
"PR0300126","BOB'S DISCOUNT LIQUOR #2","3585 BENTON ST","SANTA CLARA","CA","95051","37.3455570000","-121.9950650000","+14082432780","POINT (-121.995065 37.345557)"
"PR0300127","SANTA TERESA GOLF COURSE BANQUET","260 BERNAL RD","SAN JOSE","CA","95119","37.2239245000","-121.7794390999",,"POINT (-121.7794390999 37.2239245)"
"PR0300128","ARBY'S ROAST BEEF","601 S BERNARDO AV","SUNNYVALE","CA","94087","37.3734449000","-122.0568720000",,"POINT (-122.056872 37.3734449)"
"PR0300129","CASA LUPE #2","671 S BERNARDO AV","SUNNYVALE","CA","94087","37.3719650000","-122.0576120000",,"POINT (-122.057612 37.371965)"
"PR0300130","HANAMARU","675 S BERNARDO AV","SUNNYVALE","CA","94087","37.3725011000","-122.0567865000","+14085245353","POINT (-122.0567865 37.3725011)"
"PR0300132","BAFS-BFM-CONCRETE BUILDING","1590 BERRYESSA RD","SAN JOSE","CA","95133","37.3694879000","-121.8787290000","+14084531110","POINT (-121.878729 37.3694879)"
"PR0300133","BAFS-BFM-COTTON CANDY","1590 BERRYESSA RD","SAN JOSE","CA","95133","37.3694879000","-121.8787290000","+14084531110","POINT (-121.878729 37.3694879)"
"PR0300138","LA FORET","21747 BERTRAM RD","SAN JOSE","CA","95120","37.1739400000","-121.8237800000","+16505181043","POINT (-121.82378 37.17394)"
"PR0300140","MINT LEAF CUISINE","14420 BIG BASIN WY","SARATOGA","CA","95070","37.2585410000","-122.0324710000","+14088723763","POINT (-122.032471 37.258541)"
"PR0300143","PLUMED HORSE RESTAURANT","14555 BIG BASIN WY","SARATOGA","CA","95070","37.2566190000","-122.0352320000","+14088674711","POINT (-122.035232 37.256619)"
"PR0300146","THE RANCH KITCHEN","14583 BIG BASIN WY UNIT 1A","SARATOGA","CA","95070","37.2563470000","-122.0358560000","+14086137772","POINT (-122.035856 37.256347)"
"PR0300147","MEXICO BAKERY SUPER MERCADO #2","601 BIRD AV","SAN JOSE","CA","95125","37.3200334000","-121.8980387000",,"POINT (-121.8980387 37.3200334)"
"PR0300149","CHERRY LIQUORS","1443 BIRD AV","SAN JOSE","CA","95125","37.3063617000","-121.8915175000","+14082934336","POINT (-121.8915175 37.3063617)"
"PR0300150","GREAT WALL RESTAURANT","1455 BIRD AV","SAN JOSE","CA","95125","37.3065907000","-121.8906286000","+14082871688","POINT (-121.8906286 37.3065907)"
"PR0300152","ZEST FOOD INC","10881 S BLANEY AV # B","CUPERTINO","CA","95014","37.3103450000","-122.0232740000","+16503023483","POINT (-122.023274 37.310345)"
"PR0300153","LEONARD HERMAN SCHOOL","5955 BLOSSOM AV","SAN JOSE","CA","95123","37.2392460000","-121.8398160000",,"POINT (-121.839816 37.239246)"
"PR0300154","BLOSSOM HILL SCHOOL","16400 BLOSSOM HILL RD","LOS GATOS","CA","95032","37.2347670000","-121.9559830000",,"POINT (-121.955983 37.234767)"
"PR0300156","7-ELEVEN #14251A","815 BING DR","SANTA CLARA","CA","95051","37.3386830000","-121.9927770000","+14082478727","POINT (-121.992777 37.338683)"
"PR0300157","YUM YUM DONUTS FRANCHISE #9038-D","400 BLOSSOM HILL RD","SAN JOSE","CA","95123","37.2512679000","-121.8284601000","+14083638121","POINT (-121.8284601 37.2512679)"
"PR0300158","DOWNER SQUARE BOTTLE SHOP","402 BLOSSOM HILL RD","SAN JOSE","CA","95123","37.2511670000","-121.8284880000","+14082817292","POINT (-121.828488 37.251167)"
"PR0300159","PEARL RIVER CHINESE RESTAURANT","414 BLOSSOM HILL RD","SAN JOSE","CA","95123","37.2512678000","-121.8284647000",,"POINT (-121.8284647 37.2512678)"
"PR0300160","JACK IN THE BOX #445","425 BLOSSOM HILL RD","SAN JOSE","CA","95123","37.2517080000","-121.8293030000",,"POINT (-121.829303 37.251708)"
"PR0300161","SMART & FINAL #829 - GROCERY","430 BLOSSOM HILL RD","SAN JOSE","CA","95123","37.2504040000","-121.8294700000","+14082001855","POINT (-121.82947 37.250404)"
"PR0300162","ANGELO'S ITALIAN RESTAURANT","436 BLOSSOM HILL RD","SAN JOSE","CA","95123","37.2512130000","-121.8298185000",,"POINT (-121.8298185 37.251213)"
"PR0300163","MCDONALD'S RESTAURANT #4588","456 BLOSSOM HILL RD","SAN JOSE","CA","95123","37.2508410000","-121.8318130000","+14082275811","POINT (-121.831813 37.250841)"
"PR0300164","MY KITCHEN","445 BLOSSOM HILL RD # K","SAN JOSE","CA","95123","37.2514082000","-121.8300602000","+14088386129","POINT (-121.8300602 37.2514082)"
"PR0300168","PIONEER HIGH SCHOOL","1290 BLOSSOM HILL RD","SAN JOSE","CA","95118","37.2472990000","-121.8841910000",,"POINT (-121.884191 37.247299)"
"PR0300169","BBQ PIT","1349 BLOSSOM HILL RD","SAN JOSE","CA","95118","37.2464090000","-121.8869010000",,"POINT (-121.886901 37.246409)"
"PR0300170","MCDONALD'S RESTAURANT #4472","1365 BLOSSOM HILL RD","SAN JOSE","CA","95118","37.2456810000","-121.8879640000",,"POINT (-121.887964 37.245681)"
"PR0300172","MANDARIN HOUSE","1375 BLOSSOM HILL RD STE 12","SAN JOSE","CA","95118","37.2449515000","-121.8900859000","+14085683503","POINT (-121.8900859 37.2449515)"
"PR0300173","GET N GO","1763 BLOSSOM HILL RD","SAN JOSE","CA","95124","37.2363810000","-121.9144970000","+14084023134","POINT (-121.914497 37.236381)"
"PR0300174","TEA GARDEN CHINESE KITCHEN","14030 BLOSSOM HILL RD","LOS GATOS","CA","95032","37.2348349000","-121.9507496000","+14083560022","POINT (-121.9507496 37.2348349)"
"PR0300175","ALTA VISTA ELEMENTARY SCHOOL","200 BLOSSOM VALLEY DR","LOS GATOS","CA","95032","37.2397190000","-121.9406330000",,"POINT (-121.940633 37.239719)"
"PR0300176","SAFEWAY #767","6150 BOLLINGER RD","SAN JOSE","CA","95129","37.3099826000","-122.0118860000",,"POINT (-122.011886 37.3099826)"
"PR0300177","99 HEALTHY WORLD","6136 BOLLINGER RD","SAN JOSE","CA","95129","37.3103840000","-122.0111060000","+14083661868","POINT (-122.011106 37.310384)"
"PR0300179","GUADALAJARA MARKET","829 BORREGAS AV","SUNNYVALE","CA","94085","37.3970700000","-122.0229180000","+14087349621","POINT (-122.022918 37.39707)"
"PR0300181","BRANHAM LOUNGE","1116 BRANHAM LN","SAN JOSE","CA","95118","37.2626386000","-121.8776170000","+14084451716","POINT (-121.877617 37.2626386)"
"PR0300183","JOHN MUIR JR HIGH SCHOOL","1260 BRANHAM LN","SAN JOSE","CA","95118","37.2611220000","-121.8831860000",,"POINT (-121.883186 37.261122)"
"PR0300184","7-ELEVEN FOOD STORE #14290","1421 BRANHAM LN","SAN JOSE","CA","95118","37.2591410000","-121.8911450000",,"POINT (-121.891145 37.259141)"
"PR0300185","BRET HARTE JR HIGH","7050 BRET HARTE DR","SAN JOSE","CA","95120","37.2121450000","-121.8461640000","+14085356270","POINT (-121.846164 37.212145)"
"PR0300186","RIVER GLEN ELEMENTARY SCHOOL","1088 BROADWAY","SAN JOSE","CA","95125","37.3109100000","-121.9018710000",,"POINT (-121.901871 37.31091)"
"PR0300187","REDWOOD STORE","20121 BROADWAY","LOS GATOS","CA","95030","37.1585220000","-121.9865100000","+14083531212","POINT (-121.98651 37.158522)"
"PR0300188","JOHN F KENNEDY MIDDLE SCHOOL","821 BUBB RD","CUPERTINO","CA","95014","37.3118030000","-122.0506030000",,"POINT (-122.050603 37.311803)"
"PR0300189","GUSSIE M BAKER SCHOOL","4845 BUCKNALL RD","SAN JOSE","CA","95130","37.2835180000","-121.9857510000",,"POINT (-121.985751 37.283518)"
"PR0300190","ALEX'S 49ER INN","2214 BUSINESS CL","SAN JOSE","CA","95128","37.3224940000","-121.9328020000","+14082799737","POINT (-121.932802 37.322494)"
"PR0300193","SPRING VALLEY GOLF COURSE-CLUB","3441 CALAVERAS BL","MILPITAS","CA","95035","37.4475890000","-121.8502450000","+14082621722","POINT (-121.850245 37.447589)"
"PR0300194","SAV-MORE LIQUOR STORE","689 CALDERON AV","MOUNTAIN VIEW","CA","94041","37.3851400000","-122.0756120000","+16509681070","POINT (-122.075612 37.38514)"
"PR0300196","RENE-ROSE ISLAND CUISINE","621 CALIENTE DR","SUNNYVALE","CA","94086","37.3910819000","-122.0134529000","+14087333691","POINT (-122.0134529 37.3910819)"
"PR0300197","MOLLIE STONES MARKET","164 CALIFORNIA AV","PALO ALTO","CA","94306","37.4289440000","-122.1433910000",,"POINT (-122.143391 37.428944)"
"PR0300201","NAMASTE INDIAN CUISINE","447 CALIFORNIA AV","PALO ALTO","CA","94306","37.4258721000","-122.1451764000","+16502726941","POINT (-122.1451764 37.4258721)"
"PR0300202","LA BODEGUITA DEL MEDIO","463 CALIFORNIA AV","PALO ALTO","CA","94306","37.4256413000","-122.1453639000","+14153267762","POINT (-122.1453639 37.4256413)"
"PR0300203","CALIFORNIA STREET MARKET","1595 CALIFORNIA ST","MOUNTAIN VIEW","CA","94041","37.3946730000","-122.0894170000","+16509675284","POINT (-122.089417 37.394673)"
"PR0300204","LIQUOR & FOOD MART","2339 CALIFORNIA ST","MOUNTAIN VIEW","CA","94040","37.4022939000","-122.1060452000","+16785222806","POINT (-122.1060452 37.4022939)"
"PR0300206","CHINA WOK RESTAURANT","2633 CALIFORNIA ST","MOUNTAIN VIEW","CA","94040","37.4060420000","-122.1118570000","+16509414373","POINT (-122.111857 37.406042)"
"PR0300207","7-ELEVEN 2366-14333E","2640 CALIFORNIA ST","MOUNTAIN VIEW","CA","94040","37.4065330000","-122.1117640000","+16509417792","POINT (-122.111764 37.406533)"
"PR0300208","JACK IN THE BOX #426","1301 CAMDEN AV","CAMPBELL","CA","95008","37.2695259000","-121.9459112000","+14083719313","POINT (-121.9459112 37.2695259)"
"PR0300209","WIENERSCHNITZEL #33","1330 CAMDEN AV","CAMPBELL","CA","95008","37.2699007999","-121.9452890000","+14085597721","POINT (-121.945289 37.2699007999)"
"PR0300210","FOSTERS FREEZE","1360 CAMDEN AV","CAMPBELL","CA","95008","37.2693430000","-121.9445170000","+14088795639","POINT (-121.944517 37.269343)"
"PR0300212","HOUSE OF PHO","1852 CAMDEN AV","SAN JOSE","CA","95124","37.2614139000","-121.9206972000","+14084408531","POINT (-121.9206972 37.2614139)"
"PR0300213","ROUND TABLE PIZZA #879","5385 CAMDEN AV","SAN JOSE","CA","95124","37.2411340000","-121.9046654000","+14082679600","POINT (-121.9046654 37.241134)"
"PR0300214","LELAND HIGH SCHOOL","6677 CAMDEN AV","SAN JOSE","CA","95120","37.2194890000","-121.8448540000",,"POINT (-121.844854 37.219489)"
"PR0300215","CASK N FLASK","14520 CAMDEN AV","SAN JOSE","CA","95124","37.2616330000","-121.9225480000","+14085929987","POINT (-121.922548 37.261633)"
"PR0300216","7-ELEVEN #14278G","14700 CAMDEN AV","SAN JOSE","CA","95124","37.2615910000","-121.9288500000","+14083778022","POINT (-121.92885 37.261591)"
"PR0300218","7 ELEVEN FOOD STORE #2367-14262D","5745 CAMDEN AV","SAN JOSE","CA","95124","37.2325350000","-121.9036960000","+14082671150","POINT (-121.903696 37.232535)"
"PR0300219","MANLEY'S DONUT","5721 CAMDEN AV","SAN JOSE","CA","95124","37.2345321000","-121.9035982000",,"POINT (-121.9035982 37.2345321)"
"PR0300220","CAMPBELL NUTRITION CENTER","1 W CAMPBELL AV","CAMPBELL","CA","95008","37.2871500000","-121.9498660000","+14088662146","POINT (-121.949866 37.28715)"
"PR0300221","CARDIFF LOUNGE","260 E CAMPBELL AV","CAMPBELL","CA","95008","37.2867640000","-121.9453020000",,"POINT (-121.945302 37.286764)"
"PR0300222","7 STARS BAR & GRILL","400 E CAMPBELL AV","CAMPBELL","CA","95008","37.2870447000","-121.9428300999","+14088760176","POINT (-121.9428300999 37.2870447)"
"PR0300224","JACK IN THE BOX #412","1450 W CAMPBELL AV","CAMPBELL","CA","95008","37.2857780000","-121.9757550000","+14083780621","POINT (-121.975755 37.285778)"
"PR0300226","BASKIN ROBBINS ICE CREAM-1720","1720 W CAMPBELL AV","CAMPBELL","CA","95008","37.2852940000","-121.9791300000",,"POINT (-121.97913 37.285294)"
"PR0300227","MT. PLEASANT SCHOOL","14275 CANDLER AV","SAN JOSE","CA","95127","37.3545110000","-121.8100490000",,"POINT (-121.810049 37.354511)"
"PR0300230","CUBA LIBRE","284 N CAPITOL AV","SAN JOSE","CA","95127","37.3693069000","-121.8420577000","+14083949565","POINT (-121.8420577 37.3693069)"
"PR0300232","COLOSSEUM NEW YORK PIZZA LLC","761 E CAPITOL AV","MILPITAS","CA","95035","37.4081855000","-121.8895875000","+14082628633","POINT (-121.8895875 37.4081855)"
"PR0300233","THE NOTE LOUNGE","765 E CAPITOL AV","MILPITAS","CA","95035","37.4081594000","-121.8895454000","+14082621203","POINT (-121.8895454 37.4081594)"
"PR0300234","LEE'S SUPERMARKET MILPITAS","777 E CAPITOL AV","MILPITAS","CA","95035","37.4079310000","-121.8890020000","+14088288168","POINT (-121.889002 37.407931)"
"PR0300235","S & S MARKET #1","1148 S CAPITOL AV","SAN JOSE","CA","95127","37.3498860000","-121.8258740000","+14089269236","POINT (-121.825874 37.349886)"
"PR0300240","CARLTON SCHOOL","2421 CARLTON AV","SAN JOSE","CA","95124","37.2483360000","-121.9464710000",,"POINT (-121.946471 37.248336)"
"PR0300241","IDELLA LIETZ ELEMENTARY SCHOOL","5300 CARTER AV","SAN JOSE","CA","95118","37.2420210000","-121.9021560000",,"POINT (-121.902156 37.242021)"
"PR0300245","AGAVE","194 CASTRO ST","MOUNTAIN VIEW","CA","94043","37.3939279000","-122.0789193000","+16509696767","POINT (-122.0789193 37.3939279)"
"PR0300246","RISTORANTE DON GIOVANNI","235 CASTRO ST","MOUNTAIN VIEW","CA","94041","37.3933330000","-122.0791340000","+14150619749","POINT (-122.079134 37.393333)"
"PR0300247","NEW MONGOLIAN BBQ","304 CASTRO ST","MOUNTAIN VIEW","CA","94041","37.3923916000","-122.0799607000","+16509680381","POINT (-122.0799607 37.3923916)"
"PR0300248","KIRIN BISTRO INC","485 CASTRO ST","MOUNTAIN VIEW","CA","94041","37.3904850000","-122.0806220000","+16509651059","POINT (-122.080622 37.390485)"
"PR0300252","CAPRI SCHOOL","850 CHAPMAN DR","CAMPBELL","CA","95008","37.2666700000","-121.9648090000",,"POINT (-121.964809 37.26667)"
"PR0300253","STEVENSON HOUSE - LA COMIDA SENIOR NUTRITION PROGRAM","455 E CHARLESTON RD","PALO ALTO","CA","94306","37.4192110000","-122.1133820000","+1650494194410","POINT (-122.113382 37.419211)"
"PR0300255","CAMPBELL SCHOOL OF INNOVATION","295 CHERRY LN","CAMPBELL","CA","95008","37.2836500000","-121.9548640000",,"POINT (-121.954864 37.28365)"
"PR0300256","BRACHER SCHOOL","2700 CHROMITE","SANTA CLARA","CA","95051","37.3672260000","-121.9763280000",,"POINT (-121.976328 37.367226)"
"PR0300257","CLUB RODEO BAR & GRILL","610 COLEMAN AV","SAN JOSE","CA","95110","37.3416410000","-121.9085450000","+14089200168","POINT (-121.908545 37.341641)"
"PR0300258","CLUB RODEO/RIO","640 COLEMAN AV","SAN JOSE","CA","95110","37.3413990000","-121.9092873000","+14089200168","POINT (-121.9092873 37.341399)"
