geoid,name,total_population,median_household_income,poverty_rate_pct,households_no_vehicle_pct,total_food_businesses,fresh_food_businesses,limited_fresh_food_businesses,restaurant_businesses,fresh_food_share,fresh_food_per_1000_people,food_access_priority_score
060855063024,Block Group 4; Census Tract 5063.02; Santa Clara County; California,1135,186250,,,1,0,1,0,0.0,0.0,1.0
060855054014,Block Group 4; Census Tract 5054.01; Santa Clara County; California,2494,219925,,,5,0,0,0,0.0,0.0,1.0
060855120262,Block Group 2; Census Tract 5120.26; Santa Clara County; California,1839,171250,,,20,0,2,8,0.0,0.0,1.0
060855054021,Block Group 1; Census Tract 5054.02; Santa Clara County; California,1252,225875,,,3,0,0,2,0.0,0.0,1.0
060855120261,Block Group 1; Census Tract 5120.26; Santa Clara County; California,1895,141250,,,0,0,0,0,,0.0,1.0
060855054032,Block Group 2; Census Tract 5054.03; Santa Clara County; California,2151,206607,,,0,0,0,0,,0.0,1.0
060855055001,Block Group 1; Census Tract 5055; Santa Clara County; California,1157,208097,,,4,0,0,0,0.0,0.0,1.0
060855120252,Block Group 2; Census Tract 5120.25; Santa Clara County; California,880,240761,,,0,0,0,0,,0.0,1.0
060855120251,Block Group 1; Census Tract 5120.25; Santa Clara County; California,2182,217400,,,1,0,0,0,0.0,0.0,1.0
060855056002,Block Group 2; Census Tract 5056; Santa Clara County; California,936,238750,,,0,0,0,0,,0.0,1.0
060855056003,Block Group 3; Census Tract 5056; Santa Clara County; California,2400,124886,,,20,0,0,8,0.0,0.0,1.0
060855057001,Block Group 1; Census Tract 5057; Santa Clara County; California,1129,-666666666,,,6,0,0,2,0.0,0.0,1.0
060855057002,Block Group 2; Census Tract 5057; Santa Clara County; California,1147,89792,,,2,0,1,1,0.0,0.0,1.0
060855057003,Block Group 3; Census Tract 5057; Santa Clara County; California,1526,98375,,,8,0,0,3,0.0,0.0,1.0
060855077021,Block Group 1; Census Tract 5077.02; Santa Clara County; California,2365,250001,,,5,0,1,0,0.0,0.0,1.0
060855077022,Block Group 2; Census Tract 5077.02; Santa Clara County; California,1858,250001,,,1,0,0,0,0.0,0.0,1.0
060855077023,Block Group 3; Census Tract 5077.02; Santa Clara County; California,2241,250001,,,1,0,0,0,0.0,0.0,1.0
060855096001,Block Group 1; Census Tract 5096; Santa Clara County; California,909,221853,,,9,0,0,3,0.0,0.0,1.0
060855117012,Block Group 2; Census Tract 5117.01; Santa Clara County; California,2420,250001,,,2,0,0,0,0.0,0.0,1.0
060855094011,Block Group 1; Census Tract 5094.01; Santa Clara County; California,1603,113487,,,1,0,1,0,0.0,0.0,1.0
060855094012,Block Group 2; Census Tract 5094.01; Santa Clara County; California,1067,227788,,,1,0,0,1,0.0,0.0,1.0
060855117011,Block Group 1; Census Tract 5117.01; Santa Clara County; California,1189,250001,,,1,0,0,1,0.0,0.0,1.0
060855094031,Block Group 1; Census Tract 5094.03; Santa Clara County; California,1733,152438,,,2,0,0,0,0.0,0.0,1.0
060855094032,Block Group 2; Census Tract 5094.03; Santa Clara County; California,1328,231667,,,0,0,0,0,,0.0,1.0
